keys,en
Glossary/2bd/2bf/name,あお
Glossary/2bd/2bf/alternatives,a-o
Glossary/2bd/2bf/text,[ol] (n) blue / green
Glossary/2bd/2bf/extra,そら　は　あお  (sora wa ao) : the sky is blue
Glossary/2bd/2bf/title,Blue
Glossary/2bd/2c0/name,あまろりー
Glossary/2bd/2c0/alternatives,a-ma-ro-ri-i
Glossary/2bd/2c0/title,Sweet Lolita
Glossary/2bd/2c1/name,いらっしゃい
Glossary/2bd/2c1/alternatives,i-ra-ssha-i
Glossary/2bd/2c1/title,Welcome
Glossary/2bd/2c2/name,うん
Glossary/2bd/2c2/alternatives,u-n
Glossary/2bd/2c2/title,Yes/That's right
Glossary/2bd/2c3/name,ええ
Glossary/2bd/2c3/alternatives,e-e
Glossary/2bd/2c3/title,Huh
Glossary/2bd/2c4/name,おすすめしょうひん
Glossary/2bd/2c4/alternatives,o-su-su-me-sho-u-hi-n
Glossary/2bd/2c4/title,Featured Products
Glossary/2bd/2c5/name,くつ
Glossary/2bd/2c5/alternatives,ku-tsu
Glossary/2bd/2c5/title,Shoes
Glossary/2bd/2c6/name,けい
Glossary/2bd/2c6/alternatives,ke-i
Glossary/2bd/2c6/text,Variation of the collection
Glossary/2bd/2c6/title,Substyle
Glossary/2bd/2c7/name,こんにちは！
Glossary/2bd/2c7/alternatives,ko-n-ni-chi-wa
Glossary/2bd/2c7/title,Hello
Glossary/2bd/2c8/name,はい
Glossary/2bd/2c8/alternatives,ha-i
Glossary/2bd/2c8/title,Yes
Glossary/2bd/2c9/name,ぼうし
Glossary/2bd/2c9/alternatives,bo-u-shi
Glossary/2bd/2c9/text,Head Accessory
Glossary/2bd/2c9/title,Hat
Glossary/2bd/2ca/name,やった
Glossary/2bd/2ca/alternatives,ya-tta
Glossary/2bd/2ca/title,Yay/Hooray
Glossary/2bd/2cb/name,アクセサリー
Glossary/2bd/2cb/alternatives,a-ku-se-so-ri-i
Glossary/2bd/2cb/title,Accessory
Glossary/2bd/2cc/name,クラシックロリー
Glossary/2bd/2cc/alternatives,ku-ra-shi-kku-ro-ri-i
Glossary/2bd/2cc/text,Substyle of Lolita
Glossary/2bd/2cc/title,Classic Lolita
Glossary/2bd/2cd/name,ケープレット
Glossary/2bd/2cd/alternatives,ka-a-pe-re-tto
Glossary/2bd/2cd/title,Capalet
Glossary/2bd/2ce/name,コレクション
Glossary/2bd/2ce/alternatives,co-re-ku-sho-n
Glossary/2bd/2ce/title,Collection
Glossary/2bd/2cf/name,ゴスロリ
Glossary/2bd/2cf/alternatives,go-su-ro-ri
Glossary/2bd/2cf/title,Gothic Lolita
Glossary/2bd/2d0/name,サンキュー
Glossary/2bd/2d0/alternatives,sa-n-kyuu
Glossary/2bd/2d0/title,Thank you
Glossary/2bd/2d1/name,タイプ
Glossary/2bd/2d1/alternatives,ta-i-pu
Glossary/2bd/2d1/title,Type
Glossary/2bd/2d2/name,チョーカー
Glossary/2bd/2d2/alternatives,cho-o-ka-a
Glossary/2bd/2d2/text,Neck Accessory
Glossary/2bd/2d2/title,Choker
Glossary/2bd/2d3/name,ドレス
Glossary/2bd/2d3/alternatives,du-re-su
Glossary/2bd/2d3/title,Dress
Glossary/2bd/2d4/name,ヘアリボン
Glossary/2bd/2d4/alternatives,he-a-ri-bo-n
Glossary/2bd/2d4/title,Hair Ribbon
Glossary/2bd/2d5/name,ボンネット
Glossary/2bd/2d5/alternatives,bo-n-ne-tto
Glossary/2bd/2d5/text,Head Accessory
Glossary/2bd/2d5/title,Bonnet
Glossary/2bd/2d6/name,ロリータ
Glossary/2bd/2d6/alternatives,ro-ri-i-ta
Glossary/2bd/2d6/text,Japanese fashion
Glossary/2bd/2d6/title,Lolita
