keys,en
Text/11/text,いらっしゃい !  Hello! Nice to meet ya
Text/12/text,Are you guys interested in joining the club ?
Text/13/text,うん！
Text/14/text,I guess so
Text/15/text,"Alright, you just need to sign here and there please."
Text/16/text,サンキュー!
Text/17/text,"You can look around and hang out, we’ll be starting our meeting soon"
Text/18/text,Thank you
Text/19/text,はい~
Text/1a/text,"Alright so... I joined, now I can leave, right?"
Text/1b/text,ええ?!!
Text/1c/text,I’m just messing with you.
Text/1d/text,"Anyway, it looks like there’s a few people around, I don’t want to interrupt them…"
Text/1e/text,That’s okay
Text/1f/text,"Oh look, another one is joining."
Text/20/text,I’ve recently become intersted in learning Japanese ever since I’ve grown closer to my friend {FriendName}.
Text/21/text,I met her in high school a few years ago when she transferred from Japan.
Text/22/text,"Ever since she came to the US, she hasn't returned home until now."
Text/23/text,"{PlayerName} I found an exchange program to Japan, we should go!"
Text/24/text,She said in a voice message one day.
Text/25/text,I immediately agreed!
Text/26/text,And so begun my journey to learn Japanese...
Text/27/text,For real this time.
Text/28/text,"Come on, it’s gonna be fun!"
Text/29/text,"But I’m not interested in your fashion kei whatever, {FriendName}!"
Text/2a/text,But you'd be so kawaii
Text/2b/text,"Yeah, but it’s not something I’m going to wear"
Text/2c/text,Are there even fashion trends for men?
Text/2d/text,"{PlayerName} you ‘ve asked me that before, of course there are!"
Text/2e/text,Ugh… I don’t want to…
Text/2f/text,Don’t you want to learn more japanese? You can meet japanese people in here!
Text/30/text,Even find a kanojo~
Text/31/text,Yeah right...
Text/32/text,Was that a slight smile I saw…
Text/33/text,Seems like your face changed when I mentioned kanojo…
Text/34/text,"You def want a kanojo, don’t you?"
Text/35/text,Leave me alone
Text/36/text,So you’re gonna join?
Text/37/text,...
Text/38/text,"Alright fine. But only to learn Japanese, not for any other reasons…"
Text/39/text,やった！
Text/3a/text,I've recently become intersted in learning Japanese ever since I've grown closer to my friend {FriendName}.
Text/3b/text,We met at a young age when her family moved from Japan to my neighborhood in the US.
Text/3c/text,We didn't get along at first.
Text/3d/text,Her assertive attitude and excess confidence in herself rubbed me the wrong way.
Text/3e/text,"But as time passed by, and we grew older, we got used to one another, and became friends."
Text/3f/text,"Now we're both 20-year-old college students, and we've become best friends to each other!"
Text/40/text,"I played a big role in her English language journey, thought I never tried to learn Japanese seriously..."
Text/41/text,Until now.
Text/42/text,{PlayerName}! I found an exchange program that goes to Japan! We should do it together!
Text/43/text,{FriendName} texted me late one night...
Text/44/text,I immediately agreed!
Text/45/text,"And so, my journey to learn Japanese... it's finally starting."
Text/46/text,For real this time!
Text/47/text,"{FriendName} and I walk together through the hallways, getting used to our surroundings."
Text/48/text,"Even though we've been here for a few weeks already, it still feels so different from back home."
Text/49/text,"{PlayerName}, look a fashion club!"
Text/4a/text,A fashion club?
Text/4b/text,Yeah! It says here it's newly formed and they're looking for members.
Text/4c/text,Let's join!
Text/4d/text,I don't know... I'm not into Japanese fashion like you are.
Text/4e/text,"Come on, it's gonna be fun!"
Text/4f/text,"But I'm not interested in your fashion kei whatever, {FriendName}!"
Text/50/text,But you'd be so...
Text/51/text,friend {JoySpeaking): Kawaii!
Text/52/text,"Yeah, but it's not something I'm going to wear."
Text/53/text,Are there even fashion trends for men?
Text/54/text,"{PlayerName} you've asked me that before, of course there are!"
Text/55/text,Ugh… I don't want to…
Text/56/text,Don't you want to learn more japanese? You can meet Japanese people in here!
Text/57/text,かのじょ も みつかる かも~
Text/58/text,Yeah right...
Text/59/text,Even find a kanojo~
Text/5a/text,A... what?
Text/5b/text,"You know, a KANOJO? You've probably heard that word from me before..."
Text/5c/text,"Maybe, I don't remember it though."
Text/5d/text,"Then let me spell it out for you. At this club, you can find you a G-I-R-L-F-R-I-E-N-D."
Text/5e/text,Yeah right...
Text/5f/text,いま、わらった？
Text/60/text,Seems like your face changed when I mentioned kanojo…
Text/61/text,"You definately want a kanojo, don't you?"
Text/62/text,Leave me alone
Text/63/text,So you're gonna join?
Text/64/text,...
Text/65/text,"Alright fine. But only to learn Japanese, not for any other reasons…"
Text/66/text,やった！
Text/67/text,いらっしゃい !  Hello! Nice to meet ya! @
Text/68/text,Are you guys interested in joining the club? @
Text/69/text,うん！ @
Text/6a/text,I guess so...
Text/6b/text,"Alright, you just need to sign here, and there please."
Text/6c/text,サンキュー!
Text/6d/text,"You can look around and hang out, we'll be starting our meeting soon."
Text/6e/text,Thank you.
Text/6f/text,はい~
Text/70/text,"Alright so... I joined, now I can leave, right?"
Text/71/text,ええ?!! @
Text/72/text,I'm just messing with you.
Text/73/text,I thought more people would be here...
Text/74/text,"It's a new club, from what I heard."
Text/75/text,"Oh look, another one is joining!"
Text/76/text,(JP) Here it is. (enters the scene)
Text/77/text,"[Maybe Ayumi could say something like ""This is the place!"". Could be a good chance to show her personality/speaking style in a quick way.]"
Text/78/text,I look at the new girl… She's so…
Text/79/text,Kawaii!
Text/7a/text,No... not just kawaii.
Text/7b/text,She's... she's...
Text/7c/text,My {FriendName}'s piercing gaze interrupt my thoughts.
Text/7d/text,Ohoho {PlayerName}~ you like her?
Text/7e/text,What? No! What are you talking about?
Text/7f/text,"Oh, nothing!"
Text/80/text,Ayumi walks towards us.
Text/81/text,こんにちは! @
Text/82/text,Hello…
Text/83/text,Hm?
Text/84/text,"Ah! Are you two the new exchange students, hello!"
Text/85/text,うん! @
Text/86/text,We just joined!
Text/87/text,"Yeah, she dragged me here..."
Text/88/text,(gets kicked) Ow!
Text/89/text,pff- www @
Text/8a/text,Ayumi です! @
Text/8b/text,And you?
Text/8c/text,"I'm {main_character name}, nice to meet you."
Text/8d/text,Aoi です! @
Text/8e/text,"Are you also a transfer student, Ayumi?"
Text/8f/text,ぜんぜん~
Text/90/text,I reside here in Japan.
Text/91/text,Though my father is from the USA.
Text/92/text,So I know English too!
Text/93/text,"Oh, interesting."
Text/94/text,Sugoi! @
Text/95/text,Do you come from the US?
Text/96/text,"Yeah, we do, although {friend} is originally from Japan, but she moved to the US to study."
Text/97/text,Do you like fashion like Aoi?
Text/98/text,"Hai! I do, though I'm not very knowledgeble."
Text/99/text,I got you covered!
Text/9a/text,Hontou!? @
Text/9b/text,"Yeah, she's an expert on that stuff."
Text/9c/text,(JP) That's great! @
Text/9d/text,"Okay guys, let's get started!"
Text/9e/text,It's starting! We should hurry to join them!
Text/9f/text,It was so nice meeting other people that are into J-fashion~ it's only our first day and I've already learned so many things!
Text/a0/text,うそつき! I'm sure you knew all that already.
Text/a1/text,"Oh, so that word you do know?"
Text/a2/text,I know some…
Text/a3/text,"Anyways, I'm going to talk to the President about something, I'll catch you outside."
Text/a4/text,"Alright, bye bye"
Text/a5/text,いもうと なの? @
Text/a6/text,"Uhh, if you're asking if she's my sister, no, she's my best friend."
Text/a7/text,Aaah~
Text/a8/text,"You do seem like good friends, haha."
Text/a9/text,"Yeah, we are."
Text/aa/text,"We're pretty different though. She's crazy over fashion, while I'm…"
Text/ab/text,*cough* *cough*
Text/ac/text,Still learning-
Text/ad/text,そう... @
Text/ae/text,You surely know more than me too...
Text/af/text,"I don't know, I've always seen kawaii-fashion and knew it existed, but it's when I tried it on that something felt like it just clicked."
Text/b0/text,"I've bought a few pieces, but I'm no expert."
Text/b1/text,I'm sure your outfits look great!
Text/b2/text,Arigatou~ @
Text/b3/text,"Ah, the President needs to lock the room, we should go, it was nice to meet you!"
Text/b4/text,Wait…
Text/b5/text,EE? @
Text/b6/text,I was wondering…
Text/b7/text,Since we're both learning.
Text/b8/text,What if I help you get accessories for your next outfit?
Text/b9/text,"Just so I can learn a bit more, you know?"
Text/ba/text,Go easy on me though.
Text/bb/text,EE? @
Text/bc/text,Nani? @
Text/bd/text,You want choose my next oufit?
Text/be/text,"No no, not choose, just pick out an accessory for you."
Text/bf/text,I just want to immerse myself in the Japanese language.
Text/c0/text,So you just have to send me a website and I'll check it out!
Text/c1/text,Sou... @
Text/c2/text,I...
Text/c3/text,I think I'm okay with that!
Text/c4/text,I'll give you my number just in case.
Text/c5/text,Arigatou.
Text/c6/text,I'll send you the link when I choose it.
Text/c7/text,うん、まかせて! @
Text/c8/text,See you later!
Text/c9/text,[cue website 1 minigame]
Text/ca/text,Hello everyone! Konnichiha! @
Text/cb/text,Hello!
Text/cc/text,"is Aoi not coming to the meetup, [main_character name]?"
Text/cd/text,"I'm not sure, I thought she was already here."
Text/ce/text,Sou~
Text/cf/text,Maybe she's running late.
Text/d0/text,Possibly.
Text/d1/text,I wonder... where is Ayumi?
Text/d2/text,(footsteps)
Text/d3/text,[main_character Name]! @
Text/d4/text,Ayumi!
Text/d5/text,"Taking a look at her outfit, I feel my cheeks burning."
Text/d6/text,I was not expecting her to look so pretty…
Text/d7/text,At least Aoi is not here.
Text/d8/text,"I wouldn't want her to see me like this, how embarrassing."
Text/d9/text,"Konnichiha, genki desu ka? @"
Text/da/text,Genki desu!
Text/db/text,Anata ha kawaii desu!
Text/dc/text,Arigatou! @
Text/dd/text,"What you bought fit me very well, thank you so much!"
Text/de/text,No problem! It helped me learn some Japanese so I don't mind.
Text/df/text,Hontou? @
Text/e0/text,Un!
Text/e1/text,(JP) roritafashion ha kawaii desu
Text/e2/text,I think I said it right.
Text/e3/text,Hai @
Text/e4/text,Sugoi! @
Text/e5/text,You look so pretty!
Text/e6/text,Aoi! @
Text/e7/text,Arigatou~ @
Text/e8/text,"Hey, Aoi, I'm glad you made it!"
Text/e9/text,I did!
Text/ea/text,"I lost track of time and almost didn't make it, but I did."
Text/eb/text,"I'm glad you made it too, Aoi!"
Text/ec/text,Let's have a great time!
Text/ed/text,cue transition
Text/ee/text,"After a few group activities, the presdent says their goodbyes and the other members leave as well."
Text/ef/text,(JP) Today was fun! @
Text/f0/text,"Yeah, definitely!"
Text/f1/text,It's cool to learn about Japanese culture.
Text/f2/text,"And also listen to you guys talk in Japanese even though I don't understand half of it, haha."
Text/f3/text,www @
Text/f4/text,"You'll get there one day, keep practicing!"
Text/f5/text,"I will, I will..."
Text/f6/text,"Actually, I was thinking, if you had the time..."
Text/f7/text,Could help me practice my japanese skills?
Text/f8/text,How so?
Text/f9/text,"Well, I don't know, talk to me about yourself, but in Japanese and I'll try to figure out what you're saying."
Text/fa/text,Hmm okay!
Text/fb/text,Let's start easy then.
Text/fc/text,"Konbanwa, watashi no namae wa ayumi desu"
Text/fd/text,eeeto @
